Name,URL,Organisation,Description,Location,Latitude,Longitude
"Ann Arbor, Michigan",http://www.a2gov.org/data/pages/default.aspx,City Of Ann Arbor,City of Ann Arbor's Open Data Catalog (USA),"42.2775627974,-83.7408828735",42.2775627974,-83.7408828735
Alabama,http://open.alabama.gov/,,Open Alabama Initiative,"32.7504062,-86.7502625",32.7504062,-86.7502625
Open Data Albania,http://open.data.al/,Shqiperiacom Shpk / Osi / Osfa,Albania Open Data Catalog,"41,20",41,20
Alkmaar - Open Data,http://www.alkmaar.nl/opendata,,,,,
Allerdale Open Data,http://www.allerdale.gov.uk/default.aspx?page=2288,Allerdale Borough Council,Official borough data.,"54.7087988626,-3.28016784955",54.7087988626,-3.28016784955
Open Geo-data Amsterdam,http://www.gisdro.nl/open_geodata/,City Of Amsterdam Planning Department,Open geographic data from the City of Amsterdam Planning Dept.,"52.3740272046,4.88968849182",52.3740272046,4.88968849182
Andalusia Data Portal,http://www.juntadeandalucia.es/datosabiertos/portal.html,Regional Government Of Andalusia,Regional government data portal by the government of Andalusia.,"37.8852862723,-4.77682113647",37.8852862723,-4.77682113647
Proyecto Aporta - Spanish Public Data Catalogue,http://www.aporta.es/web/guest/buscador_de_catalogos,,Aporta project. Spanish Public Data Catalogue,"40,-4",40,-4
"Arvada, Colorado",http://arvada.org/opendata,City Of Arvada,Arvada's OpenData Catalog (US),"39.8027644,-105.0874842",39.8027644,-105.0874842
Asturias Public Data,http://risp.asturias.es,Asturias Regional Government,Asturias Public Data catalogue...,"43.3333333,-6",43.3333333,-6
Vorarlberg,http://data.vorarlberg.gv.at/,Vorarlberg Government,Datacatalog for the Austrian federal state Vorarlberg. Launched May 2012.,"47.25,9.9166667",47.25,9.9166667
Badalona Open Data,http://badalona.cat/portalweb/badalona.portal?_nfpb=true&_pagelabel=opendata,,Badalona Open Data Catalog,"41.4500446632,2.24741220474",41.4500446632,2.24741220474
Open Data Platform Of The Kingdom Of Bahrain,http://www.bahrain.bh/wps/portal/data/,,The open Data Platform is an important initiative for the Kingdom of Bahrain as it aims to implement a public data hub and a strategy for open data to enable transparency and promote eParticipation.,"26,50.5",26,50.5
Opendata Bcn,http://www.bcn.cat/opendata/,Barcelona's City Council,Barcelona Public Open Data Catalogue,"41.3887868891,2.15898513794",41.3887868891,2.15898513794
Berlin Open Data,http://daten.berlin.de/,"Berliner Senatsverwaltung Für Wirtschaft, Technologie Und Frauen","Official open data catalog of the Senate of Berlin. It was launched in September 2011. As of October 2011, it lists 21 datasets and 8 applications.

The catalog [is built](http://lists.okfn.org/pipermail/ckan-discuss/2011-September/001703.html) using the [CKAN software](http://ckan.org/).

The catalog itself is licensed under Open Data Commons Attribution
([ODC-BY](http://opendatacommons.org/licenses/by/)). It can be queried through the CKAN API of package:offenedaten, using the [group berlin](http://offenedaten.de/group/berlin).

Most datasets are licensed under Creative Commons Attribution (CC-BY).","52.5243681651,13.4105300903",52.5243681651,13.4105300903
Birmingham Open Data,http://www.birmingham.gov.uk/open-data,Birmingham City Council,Official list of links by the council,"52.4804802434,-1.89823150635",52.4804802434,-1.89823150635
